state,channel,channel_index,band,mean_signed_attribution,mean_abs_attribution,std_abs_attribution,n_samples,positive_mean_abs_attribution,negative_mean_abs_attribution,correct_only_mean_abs_attribution
EO,C3,25,Beta Low,-0.0001569993790117017,0.00046556200607430283,0.0005782166484744098,1900,0.00048009789955019174,0.00044941101332331515,0.00048635535572309985
EO,C3,25,Beta Medium,-0.0001880219816020812,0.0004789940866604605,0.000669134467350497,1140,0.0005163154215299036,0.0004375259368055237,0.00048379639402795137
EO,C3,25,Delta,-0.00010789952177965887,0.00051399317298176,0.0007845730474394722,1330,0.00038324820496862404,0.0006592653596630222,0.000510584510905268
EO,C3,25,Gamma,-6.953531692614132e-06,0.00040418577723654535,0.0005407418563630221,5890,0.00033565147236934434,0.0004803350048667688,0.0004092396331135004
EO,C3,25,Theta,-0.00023628450347090965,0.0006259055228864009,0.001340380178682446,1520,0.000566532952135606,0.0006918750459428396,0.0006783255917454096
EO,C4,29,Alpha,-0.000129141323533306,0.0004908756005601308,0.0009826953678390186,1900,0.0003498784461587137,0.0006475391054505944,0.00042489811280048987
EO,C4,29,Beta High,-0.00015226926656059956,0.000687674866056165,0.0007981902055223063,3420,0.0006296978278560375,0.0007520937973896401,0.0006974723743624828
EO,C4,29,Beta Low,-0.00026122247206521475,0.0006600161995069144,0.0008501137908665541,1900,0.0006253292736823428,0.0006985572282008826,0.0007012314650897411
EO,C4,29,Beta Medium,-0.00016977856049894463,0.0006235363673008189,0.0008930765795750515,1140,0.0005137591953992223,0.0007455110027470376,0.0006710364509136905
EO,C4,29,Delta,-0.00014687780636361535,0.0005711696075834533,0.0011893665721079759,1330,0.00038668192710795827,0.0007761559192228922,0.0005208646128824145
EO,C4,29,Gamma,-0.0005011538712027058,0.0010304098332017172,0.0025977377462162625,5890,0.0014649554819696564,0.0005475813345706734,0.001077239254464974
EO,C4,29,Theta,-7.271482530316323e-05,0.0004754322336241859,0.0007153689094983362,1520,0.0003709422146696853,0.0005915322546847421,0.000471286008194234
EO,C5,24,Alpha,-0.00026963265086374756,0.0006441114310108124,0.0010249745600543992,1900,0.0006557438557722027,0.0006311865146092677,0.0006322522791814796
EO,C5,24,Beta High,-0.0008209649948123667,0.0011239366962749087,0.0019134570822178034,3420,0.0004832189362146981,0.0018358453185640313,0.0010544681953170872
EO,C5,24,Beta Low,-0.00048738717784695796,0.0008260863198112911,0.0012443767407892552,1900,0.001064737560154994,0.0005609182749849547,0.0008851638498303734
EO,C5,24,Beta Medium,-0.0005106834911376254,0.0008083176942594875,0.0009478794032483358,1140,0.0007801544241684214,0.0008396102165828941,0.0008463787489351631
EO,C5,24,Delta,-0.00044339731055953794,0.0007921536138870375,0.002182117963725296,1330,0.0003969665678321494,0.0012312503317258021,0.0007400550855236885
EO,C5,24,Gamma,-0.0008456768238161556,0.0012448892464891296,0.001972498075401595,5890,0.0004636527194907064,0.002112929832042933,0.0010660203738447201
EO,C5,24,Theta,-0.00044823414533232586,0.0008624518431766877,0.0019091577421343775,1520,0.00039135500554233967,0.0013858927738815189,0.0009223364236831742
EO,C6,30,Alpha,-9.621789434242242e-06,0.00034409597719860973,0.00044779206787169386,1900,0.0003400435836760697,0.0003485986366680986,0.00033828360335966316
EO,C6,30,Beta High,5.908077384178219e-05,0.000285947500708002,0.00034278238446666713,3420,0.00032670919792198507,0.00024065672602579863,0.00028453635379915176
EO,C6,30,Beta Low,-3.7197444599346654e-05,0.0004239985302762998,0.0011032054661823476,1900,0.00033150378486401924,0.0005267704696232782,0.00045945599068320447
