state,frequency_hz,frequency_bin,band,mean_signed_attribution,mean_abs_attribution,std_abs_attribution,n_samples,positive_mean_abs_attribution,negative_mean_abs_attribution,correct_only_mean_abs_attribution
EC,42.5,84,Gamma,-7.284200354082118e-05,0.00014489941558698272,0.0021477841568407516,11780,4.6796104879001226e-05,0.00025390309415140665,0.00016767100202903703
EC,43.0,85,Gamma,-5.8114244534044645e-05,0.00013983935187169384,0.0020228375933867278,11780,4.645874625435747e-05,0.00024359558033540092,0.0001617337835433328
EC,43.5,86,Gamma,-7.849749107381942e-05,0.00015341064389223034,0.0023799959036418274,11780,4.8542279400417045e-05,0.00026993104888313403,0.00017799426623569297
EC,44.0,87,Gamma,-3.185734243901682e-05,0.0001210713843779491,0.001676700133135895,11780,4.491863731944737e-05,0.00020568554777628437,0.00013948359819750643
EC,44.5,88,Gamma,-2.4423875171611928e-05,0.00012055599906216805,0.001650467258927505,11780,4.239928833731705e-05,0.00020739678875644692,0.0001393437929118102
EC,45.0,89,Gamma,-0.00012587309028882197,0.00017177022492260752,0.003001678651319604,11780,4.456045508284707e-05,0.0003131144136334525,0.00020042634306986507
EO,0.5,0,Delta,-8.792984807254737e-05,0.0002555895460820468,0.0005532502773944388,11780,0.00031016453653056675,0.00019495066780591354,0.0002684145556079524
EO,1.0,1,Delta,-5.3019321912945466e-05,0.00034399830467414977,0.0005971078493356792,11780,0.00036903172232831877,0.00031618339616951765,0.0003543183636185488
EO,1.5,2,Delta,-0.00024817568689244017,0.0006026377092583136,0.0017958479457394383,11780,0.0003885674113186378,0.0008404935958579532,0.0005670670475180904
EO,2.0,3,Delta,-0.00026885680531190206,0.0006293809631933001,0.0016313443468880578,11780,0.0004106596672522865,0.0008724046253499818,0.0005960463938328419
EO,2.5,4,Delta,-0.00023744694818972134,0.0006044672536703312,0.0012402791093183577,11780,0.0004438467808967967,0.000782934445640925,0.0005573060839407805
EO,3.0,5,Delta,-0.0003050187697989584,0.0006851493253866281,0.001862582952614321,11780,0.0004485201776666477,0.000948070600631051,0.000625133411716518
EO,3.5,6,Delta,-0.0002597612665099852,0.0006366689951763298,0.0016275234604594098,11780,0.0004293457796956159,0.0008670281234882339,0.0006096965111067218
EO,4.0,7,Theta,-0.00019942616295466687,0.0005579119746710419,0.0009864573768664717,11780,0.0004487787171924078,0.000679171149647302,0.000556972554688612
EO,4.5,8,Theta,-0.00020186012507972272,0.0005515875948105965,0.0009121140805062385,11780,0.000458883640693349,0.0006545919882742049,0.0005499758879821333
EO,5.0,9,Theta,-0.00016067608519110748,0.0005038303214964132,0.0008667272420871895,11780,0.0004368216755584782,0.000578284372538563,0.0005232812648780027
EO,5.5,10,Theta,-0.00011662385090549834,0.0004660235874203358,0.0008592269138980785,11780,0.00037958087720260886,0.0005620710432178103,0.0004991417799442426
EO,6.0,11,Theta,-0.00010365843523331203,0.0004597120631405245,0.0009208048571846361,11780,0.00034489271164992304,0.000587289120352304,0.0005029669440571636
EO,6.5,12,Theta,-0.0001113805696111102,0.000497656286071243,0.0012110403512083803,11780,0.00033328784560986336,0.0006802878865838872,0.0005512962093409679
EO,7.0,13,Theta,-9.231228429095857e-05,0.0005211053915909845,0.0012945314338325923,11780,0.0003581352696198607,0.0007021833048922331,0.0005714507645862869
EO,7.5,14,Theta,-0.00011308616985229679,0.0005144226416371801,0.0014119312041502169,11780,0.00039734424072667844,0.0006445097537599598,0.0005525615621713965
EO,8.0,15,Alpha,-9.269683436701811e-05,0.00045250032939314123,0.0008809517555827184,11780,0.0004578016630918182,0.0004466099586168334,0.0004927401864210835
EO,8.5,16,Alpha,2.400199924078508e-05,0.000344668248113337,0.0004694201211130653,11780,0.00038558233402972145,0.00029920815265068764,0.00036969672845438723
EO,9.0,17,Alpha,7.778410029591101e-05,0.0003224145844095622,0.00039315380580973543,11780,0.0003457247378151068,0.00029651441395895707,0.0003415087803417733
EO,9.5,18,Alpha,9.322668868687625e-05,0.0003291987430714865,0.0003864875239221054,11780,0.00035542700231184354,0.000300056232804423,0.00034562602371135935
EO,10.0,19,Alpha,0.00011365804639756892,0.0003310730159969559,0.00040180752774000877,11780,0.00035796129295426947,0.00030119715271105193,0.0003498544380337568
EO,10.5,20,Alpha,9.525658203357182e-05,0.00033097037966862503,0.0003986267035723685,11780,0.00035845025497898276,0.0003004371848793387,0.0003469130524896035
EO,11.0,21,Alpha,-2.4309819136465066e-05,0.0003878516620212935,0.0005889900285789719,11780,0.0003869578067528412,0.0003888448345417961,0.00037324427050064327
EO,11.5,22,Alpha,-0.00018241495730533016,0.00048400890889218094,0.0008795832875230686,11780,0.0004505618008860025,0.0005211723622323792,0.00044111047912497107
EO,12.0,23,Alpha,-0.0002476930290594764,0.0005110313736955865,0.0008775519937439618,11780,0.0004850515019230565,0.0005398978978872865,0.0004789127018594816
EO,12.5,24,Alpha,-0.00020812627195318924,0.0004785517547059949,0.0007286816501788503,11780,0.0005052940101708951,0.00044883813752277243,0.0004802148253813519
EO,13.0,25,Beta Low,-0.000214694804951802,0.0004914372603519886,0.0007292364291943069,11780,0.0005265854854076246,0.00045238367695683753,0.0005012629001443672
EO,13.5,26,Beta Low,-0.00019123526706991132,0.00047549038054335455,0.0006547634943059496,11780,0.0004905112451144489,0.00045880053101991645,0.000492292870667857
EO,14.0,27,Beta Low,-0.00018040859632191406,0.00047422453604487427,0.0007066526493049978,11780,0.00048646919423717637,0.0004606193602756497,0.0005004879154125193
EO,14.5,28,Beta Low,-0.00017980859550240026,0.0004895818904929426,0.0007082504234542233,11780,0.00048695594213949664,0.0004924996108856606,0.0005219967100273438
EO,15.0,29,Beta Low,-0.00018803633566196647,0.0004905481131403956,0.0007956162574959368,11780,0.0004835259844866312,0.000498350478311245,0.0005236072478716294
EO,15.5,30,Beta Low,-0.0002024079454604525,0.0005173864452190603,0.0009043582480144212,11780,0.0005207402094734422,0.0005136600404919692,0.0005568082195337097
EO,16.0,31,Beta Low,-0.00021032635792872007,0.0005239555318798241,0.0009114692329295175,11780,0.0005217597783235365,0.0005263952580534771,0.0005655736284950201
EO,16.5,32,Beta Low,-0.00022189661774006265,0.0005375878610260584,0.0011031013699555458,11780,0.0005451413246491493,0.0005291951236670684,0.000584965930272689
EO,17.0,33,Beta Low,-0.00019995683751817777,0.0005108404896870428,0.0009739058074105774,11780,0.0005295123468618126,0.0004900939817150763,0.0005543966421997984
EO,17.5,34,Beta Low,-0.0001637419725708645,0.00047728230646095843,0.0008971330317976488,11780,0.0005046913349493475,0.0004468278303627484,0.0005168991510901244
EO,18.0,35,Beta Medium,-0.00016949447099779216,0.00048691618512380945,0.0008776571597140049,11780,0.000513911216077202,0.00045692170628670664,0.0005245463952217247
EO,18.5,36,Beta Medium,-0.00014751046284023652,0.00046442546242126293,0.000775778382172719,11780,0.0004705250051943927,0.00045764819267334105,0.0004975806643113383
EO,19.0,37,Beta Medium,-0.00013380447448868444,0.0004578579756484509,0.0008149571005898249,11780,0.00045273731115331593,0.0004635476028652675,0.0004902167036341264
EO,19.5,38,Beta Medium,-0.0001228149256990524,0.00045520416960768636,0.0008381835864991467,11780,0.00044002918978862057,0.0004720652582955371,0.0004857389057391667
EO,20.0,39,Beta Medium,-0.00012824169978941494,0.0004672419914683071,0.0008066277311027201,11780,0.00045267591477671226,0.00048342652112563485,0.0004962488886055786
EO,20.5,40,Beta Medium,-0.0001413212416695461,0.0004794322780236751,0.0008858160312774547,11780,0.0004584971910437591,0.0005026934857791373,0.0005046164855706276
EO,21.0,41,Beta High,-0.0001780069830485516,0.000515129950422915,0.001024053483279664,11780,0.0004705412881709284,0.0005646729084806777,0.0005395982455133673
EO,21.5,42,Beta High,-0.00020734427769933378,0.0005609615627947704,0.0011939110734164905,11780,0.0004809690994782768,0.0006498420775908743,0.0005904959869822607
EO,22.0,43,Beta High,-0.00021935578581591285,0.0005725105810626671,0.0012119662017965004,11780,0.0004767913778817706,0.0006788652512636633,0.0006002954177577892
EO,22.5,44,Beta High,-0.00025939258278915363,0.0006058905190582024,0.001283343454145765,11780,0.0004968975742839231,0.000726993791029624,0.000626918470725886
EO,23.0,45,Beta High,-0.0002556052605714461,0.0005903322654763571,0.001291058012489467,11780,0.0004847264401864594,0.0007076720713540211,0.0006163894849049161
EO,23.5,46,Beta High,-0.0002710976398103155,0.0006176777357699004,0.0013101450354496968,11780,0.0004999115239945586,0.0007485290821869466,0.0006429506176096066
EO,24.0,47,Beta High,-0.00026765623936354186,0.0006081644675050724,0.0013367100467721331,11780,0.0004898442903809085,0.0007396313309763657,0.000633072447583906
EO,24.5,48,Beta High,-0.00026319199840686827,0.0006062676650180705,0.0013044308993291804,11780,0.00048402673530861,0.0007420909202508045,0.0006176681007989853
EO,25.0,49,Beta High,-0.0002737715366244602,0.0006200676992011017,0.001356282821017325,11780,0.0004966270535082604,0.0007572239721931475,0.0006448286675499713
EO,25.5,50,Beta High,-0.0002640867350157788,0.0006145841300410975,0.001242760780293203,11780,0.000514734507479475,0.000725528155109567,0.0006413974646575865
EO,26.0,51,Beta High,-0.00023558499060107697,0.0005910716538280373,0.0013053714547343522,11780,0.0004672486148958317,0.0007286528081971545,0.000615311878181847
EO,26.5,52,Beta High,-0.00021929902192921,0.0005764905592180518,0.0012669477540313736,11780,0.0004411672829160469,0.0007268497551091685,0.0006012033624840583
EO,27.0,53,Beta High,-0.00018774727958634725,0.0005641242749047914,0.001262396070020336,11780,0.0004224041479187681,0.0007215910826670395,0.0005952866201687187
EO,27.5,54,Beta High,-0.00019206974841720972,0.0005785013657537821,0.0013088015022664644,11780,0.00042402395242157557,0.0007501429361229005,0.0006130687600408022
EO,28.0,55,Beta High,-0.00018529331379915198,0.0005791028582352567,0.0013300793030208372,11780,0.0004234596764178285,0.000752039726921288,0.000614413390695823
