state,band,channel,node_importance,mean_signed_attribution
EC,Theta,CP2,0.0010435989404673552,-0.00019157885394542875
EC,Alpha,FC6,0.0010429462485921951,0.00011706758931428351
EC,Alpha,O2,0.0010424882631979366,-0.00022764720756230636
EC,Theta,T8,0.0010421675843898886,-4.614836564967189e-05
EC,Alpha,P2,0.001041249858015994,0.0001274573342753291
EC,Theta,F4,0.0010396010471098855,-7.267846898602727e-05
EC,Theta,F2,0.0010388809152118844,-1.7143655461392528e-05
EC,Theta,F8,0.0010377287246661135,-9.461217238805216e-05
EC,Alpha,C4,0.0010353055344783793,-1.8268478427779597e-05
EC,Alpha,T7,0.0010322469980268117,-0.00015306693256578982
EC,Alpha,C1,0.0010307437442221023,-6.562646057535438e-05
EC,Alpha,CPZ,0.0010293109219468852,3.891949180961208e-05
EC,Alpha,P5,0.0010260261252740875,-4.863938065194647e-05
EC,Alpha,F5,0.0010252091699507796,-7.742958193373566e-05
EC,Alpha,F4,0.001024638686289999,-6.712023335159501e-05
EC,Alpha,O1,0.0010245737320917754,-0.0001811537934996391
EC,Alpha,FT7,0.0010241754463452604,-7.116209224215325e-05
EC,Delta,FP1,0.0010241266953826458,0.00018547487121607122
EC,Alpha,PO3,0.0010228934351665636,-0.00016253973062557372
EC,Alpha,FPZ,0.0010226425658882666,9.077140820588695e-05
EC,Theta,FP2,0.0010218652285380713,-3.324587652815545e-05
EC,Alpha,TP7,0.0010217890957726562,-2.0341536756235122e-05
EC,Alpha,C3,0.0010207384167442181,-0.00012153731337887169
EC,Alpha,P6,0.001020455186795606,-0.0001256040903537136
EC,Alpha,AF4,0.0010200982771329987,6.452385899427312e-06
EC,Alpha,FP2,0.001019555780426973,3.048739641295439e-05
EC,Alpha,CP2,0.0010184699480596552,4.2366383863342975e-05
EC,Alpha,OZ,0.0010173495810808935,-0.00012968735325689145
EC,Alpha,P8,0.0010173101962957327,-8.117471513453151e-05
EC,Alpha,C6,0.0010155782776409548,6.388177486223219e-05
EC,Alpha,CP5,0.0010147263283989498,-3.4412268687218235e-05
EC,Alpha,FT8,0.001013577047370481,-1.1564110922211247e-05
EC,Theta,F3,0.0010126446287036142,-1.8359322171257027e-05
EC,Alpha,CP1,0.0010125225389121819,-7.293009803860681e-05
EC,Delta,CP3,0.0010108525405966887,0.00027316100791812867
EC,Theta,FP1,0.001009437001083588,-9.273122576858038e-05
EC,Alpha,P4,0.0010093212907117746,-0.00011804915729661704
EC,Theta,FZ,0.0010082523319257706,-6.565187463073058e-05
EC,Alpha,F6,0.001007581691777239,9.452018143180342e-06
EC,Alpha,CZ,0.001007473807076437,-4.063142332087485e-05
EC,Alpha,FC4,0.0010066834652399511,8.538209179573252e-06
